$V,\ кВ$	$t_g^1,\ с$	$t_E^1,\ с$	$t_g^2,\ с$	$t_E^2,\ с$	$t_g^3,\ с$	$t_E^3,\ с$	$t_g^4,\ с$	$t_E^4,\ с$	$t_g^5,\ с$	$t_E^5,\ с$	$t_g^6,\ с$	$t_E^6,\ с$
0.30	38	7.7	33	8.6	50	7.8	43	7.3	46	7.8	41	8.5
0.32	23.3	13.8	26.5	13.3	24	12.7	24	14.1	21	12.3	26	12.8
0.38	18.8	13.8	17.9	11.9	16.9	11.4	18.8	12.9	20.1	12.7	18.8	11.7
0.78	13.1	10.1	11.3	9.7	11.5	9.8	11.3	9.7	11.7	9	12	10
0.37	21.2	12.3	20.1	11.7	23.8	12.1	20.0	12.7	22.4	12.1	18.5	12.6
0.95	5.5	8.3	5.8	8.2	5.6	8.2	5.6	7.8	5.6	8.4	5.6	8.1
0.61	10.1	5.3	10.5	5.3	10.9	5.4	10.8	5.6	10.6	5.4	10.8	5.7
0.94	9.5	8.5	10.9	9.4	10.4	8.5	10	8.8	9.8	8.8	10.5	8.8
0.44	17.1	12	15.6	12.7	15.8	12.5	16.5	13.4	16.7	11.9	15.8	12.1
0.49	16.1	15.4	15.4	15.3	14	15.6	14.8	15	15.6	15.8	15.9	14.9
1.01	9	10	9.3	9.6	9.2	9.2	9.5	9.8	9.7	10	8.9	9.6
0.42	16.2	14.2	17.4	13.6	15.6	13.9	17	16	15.7	14.2	15.5	14.1
0.93	9.9	10.1	10	9.5	10.4	10.2	9.9	10	10.2	9.9	10.4	10.2
0.65	8.6	7.8	8	7.8	7.9	8.1	8	7.8	8.2	7.6	8.4	7.7
0.66	5.7	7	6.2	6.9	5.8	6.7	6.1	6.7	6	6.9	6	7.1
